LATITUDE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,TOTAL
40.505013,-74.24074,1,0,1
40.505062,-74.24051,1,0,1
40.506187,-74.2349,1,0,1
40.506756,-74.23307,1,0,1
40.50773,-74.230064,1,0,1
40.508392,-74.24293,1,0,1
40.50999,-74.243744,1,0,1
40.510517,-74.24828,1,0,1
40.51505,-74.23457,1,0,1
40.515694,-74.2438,1,0,1
40.51577,-74.24355,1,0,1
40.520916,-74.235115,1,0,1
40.5214301,-74.1982316,1,0,1
40.52257,-74.19001,1,0,1
40.522808,-74.234924,1,0,1
40.52358,-74.187225,1,0,1
40.52609,-74.18032,1,0,1
40.526264,-74.20153,1,0,1
40.5262662,-74.2015265,1,0,1
40.52669,-74.21025,1,0,1
40.526752,-74.20118,1,0,1
40.5279085,-74.1648546,1,0,1
40.528225,-74.23938,1,0,1
40.5293737,-74.1613509,1,0,1
40.529453,-74.211006,1,0,1
40.53052,-74.1622,1,0,1
40.533688,-74.19547,1,0,1
40.533703,-74.18745,1,0,1
40.53595,-74.211716,1,0,1
40.5364739,-74.212343,1,0,1
40.53742,-74.174904,1,0,1
40.537457,-74.22136,1,0,1
40.538704,-74.17791,1,0,1
40.5397999,-74.1481254,1,0,1
40.539845,-74.17724,1,0,1
40.539898,-74.16103,1,0,1
40.540665,-74.147385,1,0,1
40.541115,-74.17412,1,0,1
40.541311,-74.1849316,1,0,1
40.54137,-74.21208,1,0,1
40.541477,-74.146706,1,0,1
40.541744,-74.207,3,0,3
40.54238,-74.20219,1,0,1
40.54301,-74.19853,1,0,1
40.54326,-74.19731,1,0,1
40.5435,-74.14187,2,0,2
40.54367,-74.20881,1,0,1
40.54438,-74.20909,1,0,1
40.5444922,-74.1573612,1,0,1
40.545,-74.16122,1,0,1
40.5453972,-74.1657433,1,0,1
40.545849,-74.1646003,1,0,1
40.5464345,-74.192268,1,0,1
40.546814,-74.14465,1,0,1
40.547806,-74.15965,0,1,1
40.54783,-74.13952,1,0,1
40.54817,-74.16921,1,0,1
40.54873,-74.165245,1,0,1
40.5491153,-74.1506289,1,0,1
40.549429,-74.1601795,1,0,1
40.54968,-74.1592626,1,0,1
40.54977,-74.192116,1,0,1
40.5499631,-74.1508395,1,0,1
40.5507777,-74.1917696,1,0,1
40.550816,-74.16572,1,0,1
40.5510542,-74.1638682,1,0,1
40.5512542,-74.1345595,1,1,2
40.551426,-74.19805,1,0,1
40.5524121,-74.1910366,1,0,1
40.55292,-74.19549,1,0,1
40.552967,-74.1946,2,0,2
40.554024,-74.17479,1,0,1
40.55403,-74.14052,1,0,1
40.55542,-74.182976,1,0,1
40.555496,-74.14631,1,0,1
40.55594,-74.176125,1,0,1
40.556232,-74.14655,2,0,2
40.556534,-74.12813,2,0,2
40.5565344,-74.1281176,2,0,2
40.5566,-74.211754,1,0,1
40.556843,-74.15492,1,0,1
40.55723,-74.14688,1,0,1
40.557262,-74.19603,1,0,1
40.557278,-74.1764,1,0,1
40.5575,-74.127075,1,0,1
40.5578297,-73.9285283,1,0,1
40.55848,-74.121605,1,0,1
40.558655,-74.11478,1,0,1
40.55895,-74.12551,1,0,1
40.559128,-74.16948,1,0,1
40.559166,-74.18021,1,0,1
40.5593847,-74.1539234,1,0,1
40.5595011,-73.9159844,1,0,1
40.55963,-74.12369,1,0,1
40.559677,-74.14443,1,0,1
40.560295,-74.16046,1,0,1
40.560745,-73.91106,1,0,1
40.5607567,-73.9104333,2,0,2
40.5608051,-73.9126898,1,0,1
40.5608801,-73.9175086,1,0,1
40.5609,-74.16901,1,0,1
40.560905,-73.9155,1,0,1
40.5614587,-74.1122628,1,0,1
40.561584,-74.13397,1,0,1
40.5616098,-74.1176075,1,0,1
40.562126,-73.90231,1,0,1
40.563084,-74.12451,1,0,1
40.563416,-74.115555,1,0,1
40.563446,-74.169754,1,0,1
40.56345,-74.169754,1,0,1
40.563503,-74.13265,1,0,1
40.563908,-74.10937,1,0,1
40.563915,-74.11637,4,0,4
40.564194,-74.186745,1,0,1
40.564285,-74.12652,1,0,1
40.56444,-74.12676,1,0,1
40.5645304,-74.1417557,1,0,1
40.5645369,-74.1316997,1,0,1
40.5647067,-74.1272083,1,0,1
40.564762,-74.13241,1,0,1
40.56494,-74.15512,1,0,1
40.564972,-74.1304697,1,0,1
40.566383,-74.101555,1,0,1
40.566494,-74.11377,2,0,2
40.566715,-74.13769,1,0,1
40.5674997,-74.1038686,1,0,1
40.568104,-74.11515,1,0,1
40.568256,-74.10548,1,0,1
40.56878,-74.10661,1,0,1
40.569855,-74.11355,1,0,1
40.5699146,-74.1103117,1,0,1
40.569927,-74.09108,1,0,1
40.570034,-73.862465,2,0,2
40.570175,-74.09441,1,0,1
40.5704668,-74.1097619,2,0,2
40.570786,-74.10946,1,0,1
40.570835,-74.16983,2,0,2
40.570877,-74.16984,6,0,6
40.57097,-74.09589,1,0,1
40.57104,-74.10919,1,0,1
40.571266,-74.09118,2,0,2
40.571995,-74.16986,1,0,1
40.57204,-73.85755,1,0,1
40.572063,-74.111115,1,0,1
40.572132,-74.10809,1,0,1
40.572422,-74.14111,1,0,1
40.5724576,-74.0933764,1,0,1
40.5726262,-74.110597,1,0,1
40.572754,-74.11404,1,0,1
40.5727864,-73.9959613,1,0,1
40.57279,-73.99597,2,0,2
40.57281,-73.99916,1,0,1
40.57286,-74.094124,1,0,1
40.5728742,-73.994903,1,0,1
40.5729078,-74.1370436,0,1,1
40.573013,-73.993835,1,0,1
40.573017,-73.85517,1,0,1
40.5730631,-74.087697,1,0,1
40.5731921,-74.1100832,1,0,1
40.573257,-74.09485,1,0,1
40.57333,-74.117836,1,0,1
40.57355,-74.11685,1,0,1
40.574005,-73.98969,1,0,1
40.5740943,-74.1191918,1,0,1
40.574135,-74.08581,1,0,1
40.5743215,-73.8519853,1,0,1
40.574593,-73.98764,1,0,1
40.5745946,-73.9876351,1,0,1
40.574646,-73.863014,2,0,2
40.57465,-73.8512,1,0,1
40.57477,-73.97965,1,0,1
40.5747712,-73.8581433,1,0,1
40.574802,-73.97353,1,0,1
40.57485,-74.002846,1,0,1
40.574898,-74.0911,1,0,1
40.574985,-73.9996148,1,0,1
40.574986,-73.99962,1,0,1
40.57518,-73.99776,1,0,1
40.575256,-74.0053,2,0,2
40.5752608,-73.9688912,1,0,1
40.57529,-73.97655,1,0,1
40.575302,-73.98453,2,0,2
40.575302,-73.9766,1,0,1
40.5753038,-73.976609,1,0,1
40.575336,-73.996445,1,0,1
40.575413,-73.98347,2,0,2
40.5754303,-73.9778689,1,0,1
40.5754964,-73.9787796,1,0,1
40.5755134,-73.9823973,1,0,1
40.57554,-73.979645,1,0,1
40.575542,-73.96487,2,0,2
40.57557,-73.981224,1,0,1
40.575575,-73.994316,1,0,1
40.57563,-73.96395,1,0,1
40.575653,-74.10455,1,0,1
40.5756957,-73.9932613,1,0,1
40.575714,-73.96301,2,0,2
40.5757147,-73.9630091,1,0,1
40.5757446,-73.9622171,1,0,1
40.575761,-73.9620803,1,0,1
40.575806,-73.9922,3,0,3
40.57588,-73.85486,1,0,1
40.575924,-73.99114,1,0,1
40.575935,-74.00543,1,0,1
40.5759853,-74.1022475,1,0,1
40.576042,-73.99008,1,0,1
40.576107,-74.08244,1,0,1
40.5761593,-73.9890171,1,0,1
40.576275,-73.98796,5,0,5
40.57629,-73.968544,2,0,2
40.5763,-73.96854,1,0,1
40.5763037,-73.9685308,3,0,3
40.576378,-74.10383,1,0,1
40.576385,-73.96718,1,0,1
40.5763924,-73.9868932,2,0,2
40.576393,-73.9869,2,0,2
40.576504,-74.1037,1,0,1
40.576508,-73.97061,1,0,1
40.576588,-73.97151,1,0,1
40.5766254,-73.9847729,2,0,2
40.576626,-73.98478,1,0,1
40.576706,-73.972824,1,0,1
40.5767433,-73.9837109,4,0,4
40.576744,-73.98372,1,0,1
40.576748,-74.00445,1,0,1
40.576767,-73.98342,1,0,1
40.57686,-73.98266,2,0,2
40.576885,-74.00323,2,0,2
40.576912,-73.964745,1,0,1
40.576916,-73.85178,1,0,1
40.57698,-73.981575,1,0,1
40.5769818,-73.9815654,1,0,1
40.5769981,-73.9683829,1,0,1
40.577003,-74.00217,2,0,2
40.5770188,-73.9641927,2,0,2
40.57704,-73.96517,1,0,1
40.5770881,-73.9509957,1,0,1
40.5771205,-74.0011051,1,0,1
40.577244,-74.00004,1,0,1
40.577244,-74.0000324,2,0,2
40.5772982,-73.8446926,1,0,1
40.57731,-74.10113,1,0,1
40.5773897,-73.965294,1,0,1
40.577465,-73.96216,1,0,1
40.5775,-73.94727,1,0,1
40.577534,-73.849915,1,0,1
40.57754,-73.99789,1,0,1
40.577545,-73.99789,2,0,2
40.5775496,-74.1272508,1,0,1
40.5776075,-73.9462903,1,0,1
40.5778,-73.96057,1,0,1
40.577812,-73.96448,1,0,1
40.577816,-73.849075,1,0,1
40.5778807,-73.9947586,1,0,1
40.577946,-74.102325,1,0,1
40.5779945,-73.9596347,1,0,1
40.577995,-73.95964,2,0,2
40.578,-74.00583,1,0,1
40.57803,-73.95692,1,0,1
40.578106,-73.99263,2,0,2
40.5781084,-73.9926239,2,0,2
40.5781185,-73.9416569,1,0,1
40.57812,-73.95902,1,0,1
40.578133,-73.84223,1,0,1
40.57826,-73.95838,1,0,1
40.57831,-73.854294,1,0,1
40.578312,-73.96808,1,0,1
40.578358,-73.99051,2,0,2
40.578358,-73.9905035,2,0,2
40.5783898,-74.1269356,1,0,1
40.578392,-73.84735,2,0,2
40.5784218,-73.8413853,1,0,1
40.578439,-73.9680438,1,0,1
40.578472,-73.93553,1,0,1
40.578537,-74.10712,1,0,1
40.57855,-73.988625,1,0,1
40.57858,-73.9884,1,0,1
40.5785801,-73.9883975,1,0,1
40.578674,-73.84058,1,0,1
40.578682,-73.8465,1,0,1
40.57873,-74.09852,1,0,1
40.578754,-74.0998,1,0,1
40.578823,-73.98628,1,0,1
40.5789366,-73.9852115,3,0,3
40.578938,-73.98522,4,0,4
40.57896,-73.84566,1,0,1
40.5789629,-73.8456499,1,0,1
40.578995,-73.96491,1,0,1
40.5789953,-73.964908,1,0,1
40.5790517,-73.9841495,1,0,1
40.579052,-73.98415,1,0,1
40.57916,-73.98309,1,0,1
40.5791614,-73.9830875,2,0,2
40.579185,-73.96401,1,0,1
40.579197,-73.98195,10,0,10
40.5791996,-73.9819392,2,0,2
40.579205,-73.839066,1,0,1
40.579235,-73.838936,1,0,1
40.5792364,-73.8389282,1,0,1
40.579239,-73.8448285,1,0,1
40.57925,-74.07781,3,0,3
40.5792516,-74.0778017,1,0,1
40.57927,-73.95335,2,0,2
40.57934,-73.9806,1,0,1
40.5793574,-74.0871509,1,0,1
40.579376,-73.96311,1,0,1
40.57939,-73.96299,1,0,1
40.57944,-73.979614,3,0,3
40.5794435,-73.9796099,2,0,2
40.579475,-73.95146,2,0,2
40.57951,-73.83811,1,0,1
40.5795124,-73.8381031,2,0,2
40.5795247,-73.9558467,1,0,1
40.579525,-73.95586,1,0,1
40.57957,-73.96221,1,0,1
40.579601,-73.954439,1,0,1
40.57961,-74.09883,1,0,1
40.57969,-74.100395,1,0,1
40.579803,-73.97184,1,0,1
40.5798042,-73.9718339,6,0,6
40.57981,-73.837204,1,0,1
40.5798131,-73.8371988,4,0,4
40.579826,-73.97622,4,0,4
40.5798272,-73.9762114,1,0,1
40.579857,-73.97255,1,0,1
40.579876,-73.9729,1,0,1
40.5799,-73.97326,1,0,1
40.57997,-73.97466,1,0,1
40.579975,-73.97464,2,0,2
40.58008,-73.98554,1,0,1
40.580082,-73.83627,1,0,1
40.580105,-73.96078,1,0,1
40.580223,-73.95753,1,0,1
40.580315,-73.835434,1,0,1
40.58036,-73.96761,5,0,5
40.5803795,-73.9676001,2,0,2
40.58038,-73.967606,1,0,1
40.58039,-73.97612,1,0,1
40.580395,-73.95357,1,0,1
40.580402,-73.982185,1,0,1
40.580414,-73.9856,1,0,1
40.580444,-73.967125,1,0,1
40.580482,-73.95984,1,0,1
40.5805,-73.96692,1,0,1
40.580585,-73.96649,2,0,2
40.58061,-73.98565,1,0,1
40.580616,-74.152534,1,0,1
40.5806195,-73.8407105,1,0,1
40.580627,-73.96622,1,0,1
40.5806289,-73.9662103,1,0,1
40.580658,-73.985664,2,0,2
40.5806604,-73.985654,1,0,1
40.580772,-73.96556,1,0,1
40.5807935,-73.833726,1,0,1
40.580868,-73.93711,1,0,1
40.58095,-73.98567,1,0,1
40.58096,-73.96466,1,0,1
40.5809605,-73.9646514,1,0,1
40.58102,-73.83289,1,0,1
40.581146,-73.98233,1,0,1
40.5811496,-73.9637549,1,0,1
40.58115,-73.96376,5,0,5
40.58117,-73.95989,1,0,1
40.5811703,-73.9598848,1,0,1
40.581184,-73.825096,2,0,2
40.5811842,-73.8250885,1,0,1
40.58121,-73.83057,1,0,1
40.58123,-73.98232,1,0,1
40.581257,-73.957924,2,0,2
40.581306,-73.956764,1,0,1
40.581345,-73.96283,1,0,1
40.581347,-73.9628259,1,0,1
40.5815333,-73.9619438,1,0,1
40.5816044,-73.8307683,2,0,2
40.581608,-73.95506,1,0,1
40.581646,-73.98242,1,0,1
40.58172,-73.83937,1,0,1
40.581722,-73.97545,1,0,1
40.5817444,-73.9538363,1,0,1
40.581745,-73.960945,2,0,2
40.581745,-73.95384,1,0,1
40.581753,-73.95362,1,0,1
40.581783,-73.94808,1,0,1
40.5818,-73.96074,1,0,1
40.58183,-73.95284,1,0,1
40.581875,-73.95635,1,0,1
40.581917,-73.82978,1,0,1
40.5819581,-73.9599419,1,0,1
40.58196,-73.959946,8,0,8
40.58205,-73.82188,2,0,2
40.58209,-73.955185,1,0,1
40.582104,-73.959236,1,0,1
40.58217,-73.95896,1,0,1
40.58222,-73.95543,1,0,1
40.58227,-73.98612,2,0,2
40.5822717,-73.986118,1,0,1
40.582287,-74.16907,2,0,2
40.582314,-73.82848,1,0,1
40.582317,-73.95831,1,0,1
40.58234,-74.1054,1,0,1
40.58239,-73.82824,1,0,1
40.582462,-73.82799,1,0,1
40.5824979,-73.9573747,1,0,1
40.5825,-73.96118,1,0,1
